Video Name,Link to the lecture,Week Number
Lecture 27 LIF101AA 2021 Meiosis,https://hello.iitk.ac.in/lif101aa2021/#/lecture/146,9
Discussion hour with Amitabha on 08_06_2021,https://hello.iitk.ac.in/lif101aa2021/#/lecture/345,9
Discussion session with Jonaki on 8_6_2021,https://hello.iitk.ac.in/lif101aa2021/#/lecture/392,9
Lecture 28A LIF101 2021 Inheritance 1A,https://hello.iitk.ac.in/lif101aa2021/#/lecture/147,10
Lecture 28B LIF101 2021 Inheritance 1B,https://hello.iitk.ac.in/lif101aa2021/#/lecture/148,10
Lecture 29 LIF101 2021 Inheritance II,https://hello.iitk.ac.in/lif101aa2021/#/lecture/149,10
Discussion hour with Jonaki on 15_6_2021,https://hello.iitk.ac.in/lif101aa2021/#/lecture/393,10
Discussion session with Jonaki 18-6-2021,https://hello.iitk.ac.in/lif101aa2021/#/lecture/394,10
Lecture 30 LIF101 2021 Biotechnology I,https://hello.iitk.ac.in/lif101aa2021/#/lecture/150,11
Lecture 31 LIF101 2021 Biotechnology II,https://hello.iitk.ac.in/lif101aa2021/#/lecture/151,11
Discussion session with Jonaki on 22_6_2021,https://hello.iitk.ac.in/lif101aa2021/#/instruction/472,11
Discussion session with Jonaki on 29_6_2021,https://hello.iitk.ac.in/lif101aa2021/#/lecture/422,11
