Video Name,Link to the lecture,Week Number
L24 - Forced oscillation and resonance,https://hello.iitk.ac.in/sites/default/files/phy102aa2021/Lecture_23_Phy102.pdf?userid=26791&lid=968&filename=Lecture_23_Phy102.pdf,9
L25 - Damped oscillators,https://hello.iitk.ac.in/phy102aa2021/#/lecture/969,9
L26 - Coupled oscillators,https://hello.iitk.ac.in/phy102aa2021/#/lecture/974,10
L27 - Degrees of freedom and angular momentum of...,https://hello.iitk.ac.in/sites/default/files/phy102aa2021/Lecture_26_Phy102_0.pdf?userid=26791&lid=974&filename=Lecture_26_Phy102_0.pdf,10
L28 - Motion of regid bodies: principal axes and...,https://hello.iitk.ac.in/phy102aa2021/#/lecture/977,10
L29 - Combined (orbital + spin) motion of a rigi...,https://hello.iitk.ac.in/phy102aa2021/#/lecture/1001,11
L30 - Parallel-axis theorem and Euler angles,https://hello.iitk.ac.in/sites/default/files/phy102aa2021/Lecture_29_Phy102.pdf?userid=26791&lid=1001&filename=Lecture_29_Phy102.pdf,11
L31 - Motion of a heavy symmetric top (gyroscopi...,https://hello.iitk.ac.in/phy102aa2021/#/lecture/1002,11
L32 - Special theory of relativity: introduction,https://hello.iitk.ac.in/phy102aa2021/#/lecture/1019,12
L33 - Lorentz transformation and consequences,https://hello.iitk.ac.in/sites/default/files/phy102aa2021/Lecture_32_Phy_102.pdf?userid=26791&lid=1019&filename=Lecture_32_Phy_102.pdf,12
L34 - Relativistic Doppler effect and Minkowski’...,https://hello.iitk.ac.in/phy102aa2021/#/lecture/1020,12
L35 - Relativistic dynamics,https://hello.iitk.ac.in/phy102aa2021/#/lecture/1022,13
